Dataset,Algorithm,Run_ID,Best_Precision,N_Features,Time_s
lymphography,PSO,27,0.8695814839229474,18,11.932949542999268
lymphography,PSO,28,0.8736585973644798,9,12.088923454284668
lymphography,PSO,29,0.8537682471553438,20,12.292632818222046
lymphography,PSO,30,0.869566489269192,17,12.26375412940979
lymphography,GWO,1,0.8752125480020215,7,12.855966329574585
lymphography,GWO,2,0.8581869858989425,11,12.837330102920532
lymphography,GWO,3,0.8726946848982172,15,12.927743673324585
lymphography,GWO,4,0.8759225929465809,15,13.026539325714111
lymphography,GWO,5,0.8810218370032612,9,12.808966159820557
lymphography,GWO,6,0.878566034521917,10,12.870442390441895
lymphography,GWO,7,0.8593874763286529,14,12.927923917770386
lymphography,GWO,8,0.8715448305448305,9,12.832142114639282
lymphography,GWO,9,0.8646058833223468,13,12.918031692504883
lymphography,GWO,10,0.8906197451650979,13,12.860178470611572
lymphography,GWO,11,0.8858937631693049,10,12.809759378433228
lymphography,GWO,12,0.8906197451650979,13,12.87034273147583
lymphography,GWO,13,0.8752125480020215,7,12.854481220245361
lymphography,GWO,14,0.8709076914456265,9,12.675888299942017
lymphography,GWO,15,0.8630377764437559,9,12.51509952545166
lymphography,GWO,16,0.861698359073359,13,12.56840991973877
lymphography,GWO,17,0.872741003051814,7,12.457144260406494
lymphography,GWO,18,0.8816202384097727,13,12.592232942581177
lymphography,GWO,19,0.8608885396253817,9,12.586594581604004
lymphography,GWO,20,0.8706490008348116,10,12.492870569229126
lymphography,GWO,21,0.8608008271976295,12,12.59549355506897
lymphography,GWO,22,0.877556497499197,10,12.591542959213257
lymphography,GWO,23,0.8820745422842197,9,12.576789855957031
lymphography,GWO,24,0.8653137065637067,10,12.565505027770996
lymphography,GWO,25,0.8602303384465547,12,12.555433750152588
lymphography,GWO,26,0.867262771012771,10,12.601282119750977
lymphography,GWO,27,0.8801002235480985,11,12.566777229309082
lymphography,GWO,28,0.8746122616122616,12,12.592954635620117
lymphography,GWO,29,0.8615493483062326,8,12.510512590408325
lymphography,GWO,30,0.8706788931788931,10,12.486899375915527
ionosphere,GA,1,0.9406487087119679,13,50.709954261779785
ionosphere,GA,2,0.9344075644521818,13,50.64237332344055
ionosphere,GA,3,0.941664171435409,12,48.86002588272095
ionosphere,GA,4,0.9328441191813615,13,54.208956718444824
ionosphere,GA,5,0.9552963778918847,9,45.40549159049988
ionosphere,GA,6,0.941664171435409,12,50.4553005695343
ionosphere,GA,7,0.9361627450964779,14,53.00244498252869
ionosphere,GA,8,0.945057951176051,11,50.13891816139221
ionosphere,GA,9,0.9446498206205148,9,50.3087956905365
ionosphere,GA,10,0.9368511552285707,10,48.53229308128357
ionosphere,GA,11,0.942250574546392,12,46.158103466033936
ionosphere,GA,12,0.9462462931135392,13,48.34459447860718
ionosphere,GA,13,0.941364460660278,9,49.10458207130432
ionosphere,GA,14,0.9367804658717774,17,54.96286344528198
ionosphere,GA,15,0.9369596969910385,13,51.31922721862793
ionosphere,GA,16,0.9374107482045122,8,48.54748773574829
ionosphere,GA,17,0.935151977070194,13,52.7418909072876
ionosphere,GA,18,0.9373872643362196,19,57.471015214920044
